"","transect","year","site","Source","plot","treat","Jday","visit","plant","tbo","Ln1","Ln2","Ln3","Fr1","Flwr1","B1","Fr2","Flwr2","B2","failF","final.fate","DEm.est","DEm.estplotav","D1stFlw.ob","D1stFlw.est","D1stSp.ob","day.perLnplotav","subplotID","plotID"
"20","NK",2011,"L","H",1,"TR",178,1,1.2,NA,6,"",NA,NA,0,NA,NA,NA,NA,NA,"new",157,155,196,195.5,202,3.79,"NK.L.1.H","NK.L.1"
"21","NK",2011,"L","H",1,"TR",188,2,1.2,NA,9,"",NA,NA,0,NA,NA,NA,NA,NA,".",NA,NA,196,195.5,202,3.79,"NK.L.1.H","NK.L.1"
"22","NK",2011,"L","H",1,"TR",196,3,1.2,NA,NA,"",NA,NA,2,3,NA,NA,NA,NA,".",NA,NA,196,195.5,202,3.79,"NK.L.1.H","NK.L.1"
"23","NK",2011,"L","H",1,"TR",202,4,1.2,1,10,"",NA,4,0,2,NA,NA,2,NA,".",NA,NA,196,195.5,202,3.79,"NK.L.1.H","NK.L.1"
"24","NK",2011,"L","H",1,"TR",209,5,1.2,1,NA,"",NA,5,0,NA,NA,NA,NA,NA,".",NA,NA,196,195.5,202,3.79,"NK.L.1.H","NK.L.1"
"25","NK",2011,"L","H",1,"TR",213,6,1.2,1,10,"",NA,5,0,NA,NA,NA,NA,NA,"1",NA,NA,196,195.5,202,3.79,"NK.L.1.H","NK.L.1"
"26","NK",2011,"L","H",1,"TR",178,1,1.3,NA,7,"",NA,NA,0,NA,NA,NA,NA,NA,"new",154,151,196,195,202,3.79,"NK.L.1.H","NK.L.1"
"27","NK",2011,"L","H",1,"TR",188,2,1.3,NA,10,"4",NA,NA,0,1,NA,NA,NA,NA,".",NA,NA,196,195,202,3.79,"NK.L.1.H","NK.L.1"
"28","NK",2011,"L","H",1,"TR",196,3,1.3,NA,10,"",NA,NA,3,5,NA,NA,NA,NA,".",NA,NA,196,195,202,3.79,"NK.L.1.H","NK.L.1"
"29","NK",2011,"L","H",1,"TR",202,4,1.3,NA,10,">6",NA,4,0,NA,NA,NA,NA,NA,".",NA,NA,196,195,202,3.79,"NK.L.1.H","NK.L.1"
"30","NK",2011,"L","H",1,"TR",209,5,1.3,NA,NA,"",NA,7,0,NA,NA,NA,NA,NA,".",NA,NA,196,195,202,3.79,"NK.L.1.H","NK.L.1"
"31","NK",2011,"L","H",1,"TR",213,6,1.3,NA,NA,"",NA,NA,0,NA,NA,NA,NA,NA,"1",NA,NA,196,195,202,3.79,"NK.L.1.H","NK.L.1"
"32","NK",2011,"L","H",1,"TR",178,1,1.4,NA,5,"",NA,NA,0,NA,NA,NA,NA,NA,"new",161,159,NA,NA,NA,3.79,"NK.L.1.H","NK.L.1"
"33","NK",2011,"L","H",1,"TR",188,2,1.4,NA,7,"",NA,NA,0,NA,NA,NA,NA,NA,".",NA,NA,NA,NA,NA,3.79,"NK.L.1.H","NK.L.1"
"34","NK",2011,"L","H",1,"TR",196,3,1.4,NA,NA,"",NA,NA,0,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,3.79,"NK.L.1.H","NK.L.1"
"35","NK",2011,"L","H",1,"TR",178,1,2.4,NA,7,"",NA,NA,0,NA,NA,NA,NA,NA,"new",154,151,202,200.5,209,3.79,"NK.L.1.H","NK.L.1"
"36","NK",2011,"L","H",1,"TR",188,2,2.4,NA,10,"6",NA,NA,0,NA,NA,NA,NA,NA,".",NA,NA,202,200.5,209,3.79,"NK.L.1.H","NK.L.1"
"37","NK",2011,"L","H",1,"TR",196,3,2.4,NA,10,"6",NA,NA,0,4,NA,NA,NA,NA,".",NA,NA,202,200.5,209,3.79,"NK.L.1.H","NK.L.1"
"38","NK",2011,"L","H",1,"TR",202,4,2.4,NA,10,"6",NA,NA,4,1,NA,NA,2,NA,".",NA,NA,202,200.5,209,3.79,"NK.L.1.H","NK.L.1"
"39","NK",2011,"L","H",1,"TR",209,5,2.4,NA,NA,"",NA,5,0,NA,NA,2,NA,NA,".",NA,NA,202,200.5,209,3.79,"NK.L.1.H","NK.L.1"
"40","NK",2011,"L","H",1,"TR",213,6,2.4,NA,NA,"",NA,NA,0,NA,NA,NA,NA,NA,"1",NA,NA,202,200.5,209,3.79,"NK.L.1.H","NK.L.1"
"41","NK",2011,"L","H",1,"TR",178,1,4.3,NA,7,"2",NA,NA,0,NA,NA,NA,NA,NA,"new",154,151,196,193.5,202,3.79,"NK.L.1.H","NK.L.1"
"42","NK",2011,"L","H",1,"TR",188,2,4.3,NA,12,"9",NA,NA,0,NA,NA,NA,NA,NA,".",NA,NA,196,193.5,202,3.79,"NK.L.1.H","NK.L.1"
"43","NK",2011,"L","H",1,"TR",196,3,4.3,NA,NA,"",NA,NA,6,3,NA,NA,NA,NA,".",NA,NA,196,193.5,202,3.79,"NK.L.1.H","NK.L.1"
"44","NK",2011,"L","H",1,"TR",202,4,4.3,NA,10,"11",NA,7,2,2,NA,2,3,NA,".",NA,NA,196,193.5,202,3.79,"NK.L.1.H","NK.L.1"
"45","NK",2011,"L","H",1,"TR",209,5,4.3,NA,NA,"",NA,10,1,NA,3,2,NA,NA,".",NA,NA,196,193.5,202,3.79,"NK.L.1.H","NK.L.1"
"46","NK",2011,"L","H",1,"TR",213,6,4.3,NA,NA,"",NA,NA,0,NA,NA,NA,NA,NA,"1",NA,NA,196,193.5,202,3.79,"NK.L.1.H","NK.L.1"
"47","NK",2011,"L","H",1,"TR",178,1,4.4,NA,5,"",NA,NA,0,NA,NA,NA,NA,NA,"new",161,159,202,201.5,209,3.79,"NK.L.1.H","NK.L.1"
"48","NK",2011,"L","H",1,"TR",188,2,4.4,NA,9,"",NA,NA,0,NA,NA,NA,NA,NA,".",NA,NA,202,201.5,209,3.79,"NK.L.1.H","NK.L.1"
"49","NK",2011,"L","H",1,"TR",196,3,4.4,NA,NA,"",NA,NA,0,2,NA,NA,NA,NA,".",NA,NA,202,201.5,209,3.79,"NK.L.1.H","NK.L.1"
"50","NK",2011,"L","H",1,"TR",202,4,4.4,NA,8,"1",NA,NA,1,NA,NA,NA,NA,NA,".",NA,NA,202,201.5,209,3.79,"NK.L.1.H","NK.L.1"
"51","NK",2011,"L","H",1,"TR",209,5,4.4,NA,NA,"",NA,2,0,NA,NA,NA,NA,NA,".",NA,NA,202,201.5,209,3.79,"NK.L.1.H","NK.L.1"
"52","NK",2011,"L","H",1,"TR",213,6,4.4,NA,NA,"",NA,NA,0,NA,NA,NA,NA,NA,"1",NA,NA,202,201.5,209,3.79,"NK.L.1.H","NK.L.1"
"53","NK",2011,"L","H",1,"TR",178,1,4.5,NA,7,"",NA,NA,0,NA,NA,NA,NA,NA,"new",154,151,202,200,202,3.79,"NK.L.1.H","NK.L.1"
"54","NK",2011,"L","H",1,"TR",188,2,4.5,NA,9,"",NA,NA,0,NA,NA,NA,NA,NA,".",NA,NA,202,200,202,3.79,"NK.L.1.H","NK.L.1"
"55","NK",2011,"L","H",1,"TR",196,3,4.5,NA,NA,"",NA,NA,0,4,NA,NA,NA,NA,".",NA,NA,202,200,202,3.79,"NK.L.1.H","NK.L.1"
"56","NK",2011,"L","H",1,"TR",202,4,4.5,NA,11,"5",NA,1,4,3,NA,NA,1,NA,".",NA,NA,202,200,202,3.79,"NK.L.1.H","NK.L.1"
"57","NK",2011,"L","H",1,"TR",209,5,4.5,NA,NA,"",NA,6,2,NA,NA,NA,NA,NA,".",NA,NA,202,200,202,3.79,"NK.L.1.H","NK.L.1"
"58","NK",2011,"L","H",1,"TR",213,6,4.5,NA,NA,"",NA,NA,0,NA,NA,NA,NA,NA,"1",NA,NA,202,200,202,3.79,"NK.L.1.H","NK.L.1"
"59","NK",2011,"L","H",1,"TR",178,1,5.1,NA,8,"6",NA,NA,0,NA,NA,NA,NA,NA,"new",150,148,196,195,202,3.79,"NK.L.1.H","NK.L.1"
"60","NK",2011,"L","H",1,"TR",188,2,5.1,NA,9,"14",NA,NA,0,NA,NA,NA,NA,NA,".",NA,NA,196,195,202,3.79,"NK.L.1.H","NK.L.1"
"61","NK",2011,"L","H",1,"TR",196,3,5.1,NA,NA,"",NA,NA,3,4,NA,NA,NA,NA,".",NA,NA,196,195,202,3.79,"NK.L.1.H","NK.L.1"
"62","NK",2011,"L","H",1,"TR",202,4,5.1,NA,12,">19",NA,5,3,NA,NA,2,3,NA,".",NA,NA,196,195,202,3.79,"NK.L.1.H","NK.L.1"
"63","NK",2011,"L","H",1,"TR",209,5,5.1,NA,NA,"",NA,8,0,NA,4,NA,NA,NA,".",NA,NA,196,195,202,3.79,"NK.L.1.H","NK.L.1"
"64","NK",2011,"L","H",1,"TR",213,6,5.1,NA,NA,"",NA,NA,0,NA,NA,NA,NA,NA,"1",NA,NA,196,195,202,3.79,"NK.L.1.H","NK.L.1"
"65","NK",2011,"L","H",1,"TR",178,1,5.2,NA,3,"",NA,NA,0,NA,NA,NA,NA,NA,"new",168,167,NA,NA,NA,3.79,"NK.L.1.H","NK.L.1"
"66","NK",2011,"L","H",1,"TR",178,2,5.2,NA,3,"",NA,NA,0,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,3.79,"NK.L.1.H","NK.L.1"
"67","NK",2011,"L","H",1,"TR",178,1,5.5,NA,6,"",NA,NA,0,NA,NA,NA,NA,NA,"new",157,155,202,201.5,202,3.79,"NK.L.1.H","NK.L.1"
"68","NK",2011,"L","H",1,"TR",188,2,5.5,NA,9,"1",NA,NA,0,NA,NA,NA,NA,NA,".",NA,NA,202,201.5,202,3.79,"NK.L.1.H","NK.L.1"
"69","NK",2011,"L","H",1,"TR",196,3,5.5,NA,NA,"",NA,NA,0,4,NA,NA,NA,NA,".",NA,NA,202,201.5,202,3.79,"NK.L.1.H","NK.L.1"
"70","NK",2011,"L","H",1,"TR",202,4,5.5,NA,11,"5",NA,1,1,3,NA,NA,2,NA,".",NA,NA,202,201.5,202,3.79,"NK.L.1.H","NK.L.1"
"71","NK",2011,"L","H",1,"TR",209,5,5.5,NA,NA,"",NA,3,4,NA,NA,NA,1,NA,".",NA,NA,202,201.5,202,3.79,"NK.L.1.H","NK.L.1"
"72","NK",2011,"L","H",1,"TR",213,6,5.5,NA,NA,"",NA,NA,0,NA,NA,NA,NA,NA,"1",NA,NA,202,201.5,202,3.79,"NK.L.1.H","NK.L.1"
"73","NK",2011,"L","L",2,"TR",178,1,1.1,NA,6,"",NA,NA,0,NA,NA,NA,NA,NA,"new",158,159,NA,NA,NA,3.17,"NK.L.2.L","NK.L.2"
"74","NK",2011,"L","L",2,"TR",196,2,1.1,1,4,">2",NA,NA,0,NA,NA,NA,NA,NA,".",NA,NA,NA,NA,NA,3.17,"NK.L.2.L","NK.L.2"
"75","NK",2011,"L","L",2,"TR",202,3,1.1,1,3,"",NA,NA,0,NA,NA,NA,NA,NA,".",NA,NA,NA,NA,NA,3.17,"NK.L.2.L","NK.L.2"
"76","NK",2011,"L","L",2,"TR",209,4,1.1,NA,NA,"",NA,NA,0,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,3.17,"NK.L.2.L","NK.L.2"
"77","NK",2011,"L","L",2,"TR",178,1,1.2,NA,3,"",NA,NA,0,NA,NA,NA,NA,NA,"new",168,168,NA,NA,NA,3.17,"NK.L.2.L","NK.L.2"
"78","NK",2011,"L","L",2,"TR",196,2,1.2,NA,NA,"",NA,NA,0,NA,NA,NA,NA,NA,".",NA,NA,NA,NA,NA,3.17,"NK.L.2.L","NK.L.2"
"79","NK",2011,"L","L",2,"TR",202,3,1.2,1,2,"",NA,NA,0,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,3.17,"NK.L.2.L","NK.L.2"
"80","NK",2011,"L","L",2,"TR",178,1,2.1,NA,6,"",NA,NA,0,NA,NA,NA,NA,NA,"new",158,159,NA,NA,NA,3.17,"NK.L.2.L","NK.L.2"
"81","NK",2011,"L","L",2,"TR",188,2,2.1,NA,9,"10",NA,NA,0,NA,NA,NA,NA,NA,".",NA,NA,NA,NA,NA,3.17,"NK.L.2.L","NK.L.2"
"82","NK",2011,"L","L",2,"TR",196,3,2.1,NA,NA,"",NA,NA,0,4,NA,NA,NA,NA,".",NA,NA,NA,NA,NA,3.17,"NK.L.2.L","NK.L.2"
"83","NK",2011,"L","L",2,"TR",202,4,2.1,1,4,"2",NA,NA,0,NA,NA,NA,NA,NA,".",NA,NA,NA,NA,NA,3.17,"NK.L.2.L","NK.L.2"
"84","NK",2011,"L","L",2,"TR",209,5,2.1,NA,NA,"",NA,NA,0,NA,NA,NA,NA,NA,".",NA,NA,NA,NA,NA,3.17,"NK.L.2.L","NK.L.2"
"85","NK",2011,"L","L",2,"TR",213,6,2.1,NA,NA,"",NA,NA,0,NA,NA,NA,NA,NA,".",NA,NA,NA,NA,NA,3.17,"NK.L.2.L","NK.L.2"
"86","NK",2011,"L","L",2,"TR",216,7,2.1,1,5,"",NA,NA,0,NA,NA,NA,NA,NA,".",NA,NA,NA,NA,NA,3.17,"NK.L.2.L","NK.L.2"
"87","NK",2011,"L","L",2,"TR",226,8,2.1,NA,NA,"",NA,NA,0,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,3.17,"NK.L.2.L","NK.L.2"
"88","NK",2011,"L","L",2,"TR",178,1,3.3,NA,6,"",NA,NA,0,NA,NA,NA,NA,NA,"new",158,159,NA,NA,NA,3.17,"NK.L.2.L","NK.L.2"
"89","NK",2011,"L","L",2,"TR",188,2,3.3,NA,9,"",NA,NA,0,NA,NA,NA,NA,NA,".",NA,NA,NA,NA,NA,3.17,"NK.L.2.L","NK.L.2"
"90","NK",2011,"L","L",2,"TR",196,3,3.3,1,8,"5",NA,NA,0,1,NA,NA,NA,NA,".",NA,NA,NA,NA,NA,3.17,"NK.L.2.L","NK.L.2"
"91","NK",2011,"L","L",2,"TR",202,4,3.3,NA,NA,"",NA,NA,0,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,3.17,"NK.L.2.L","NK.L.2"
"92","NK",2011,"L","L",2,"TR",178,1,4.1,NA,5,"",NA,NA,0,NA,NA,NA,NA,NA,"new",161,162,NA,NA,NA,3.17,"NK.L.2.L","NK.L.2"
"93","NK",2011,"L","L",2,"TR",188,2,4.1,NA,9,"",NA,NA,0,NA,NA,NA,NA,NA,".",NA,NA,NA,NA,NA,3.17,"NK.L.2.L","NK.L.2"
"94","NK",2011,"L","L",2,"TR",196,3,4.1,NA,NA,"",NA,NA,0,1,NA,NA,NA,NA,".",NA,NA,NA,NA,NA,3.17,"NK.L.2.L","NK.L.2"
"95","NK",2011,"L","L",2,"TR",202,4,4.1,NA,NA,"",NA,NA,0,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,3.17,"NK.L.2.L","NK.L.2"
"96","NK",2011,"L","L",2,"TR",196,1,4.4,NA,11,"",NA,NA,0,1,NA,NA,NA,NA,"new",NA,NA,NA,NA,NA,3.17,"NK.L.2.L","NK.L.2"
"97","NK",2011,"L","L",2,"TR",202,2,4.4,1,8,"",NA,NA,0,NA,NA,NA,NA,NA,".",NA,NA,NA,NA,NA,3.17,"NK.L.2.L","NK.L.2"
"98","NK",2011,"L","L",2,"TR",209,3,4.4,NA,NA,"",NA,NA,0,NA,NA,NA,NA,NA,".",NA,NA,NA,NA,NA,3.17,"NK.L.2.L","NK.L.2"
"99","NK",2011,"L","L",2,"TR",213,4,4.4,1,9,"",NA,NA,0,NA,NA,NA,NA,NA,".",NA,NA,NA,NA,NA,3.17,"NK.L.2.L","NK.L.2"
"100","NK",2011,"L","L",2,"TR",216,5,4.4,1,9,"",NA,NA,0,NA,NA,NA,NA,NA,".",NA,NA,NA,NA,NA,3.17,"NK.L.2.L","NK.L.2"
"101","NK",2011,"L","L",2,"TR",226,6,4.4,NA,NA,"",NA,NA,0,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,3.17,"NK.L.2.L","NK.L.2"
"102","NK",2011,"L","L",2,"TR",209,1,5.4,NA,9,"",NA,NA,0,NA,NA,NA,NA,NA,"new",NA,NA,226,224.5,226,3.17,"NK.L.2.L","NK.L.2"
"103","NK",2011,"L","L",2,"TR",213,2,5.4,NA,NA,"",NA,NA,0,NA,NA,NA,NA,NA,".",NA,NA,226,224.5,226,3.17,"NK.L.2.L","NK.L.2"
"104","NK",2011,"L","L",2,"TR",216,3,5.4,NA,12,"",NA,NA,0,1,NA,NA,NA,NA,".",NA,NA,226,224.5,226,3.17,"NK.L.2.L","NK.L.2"
"105","NK",2011,"L","L",2,"TR",226,4,5.4,NA,10,"2",NA,2,2,NA,NA,NA,NA,NA,".",NA,NA,226,224.5,226,3.17,"NK.L.2.L","NK.L.2"
"106","NK",2011,"L","L",2,"TR",230,5,5.4,NA,11,"2",NA,4,0,NA,NA,NA,NA,NA,".",NA,NA,226,224.5,226,3.17,"NK.L.2.L","NK.L.2"
"107","NK",2011,"L","L",2,"TR",240,6,5.4,NA,NA,"",NA,NA,0,NA,NA,NA,NA,NA,"1",NA,NA,226,224.5,226,3.17,"NK.L.2.L","NK.L.2"
"108","NK",2011,"L","L",2,"TR",178,1,5.5,NA,6,"",NA,NA,0,NA,NA,NA,NA,NA,"new",158,159,NA,NA,NA,3.17,"NK.L.2.L","NK.L.2"
"109","NK",2011,"L","L",2,"TR",188,2,5.5,NA,8,"",NA,NA,0,NA,NA,NA,NA,NA,".",NA,NA,NA,NA,NA,3.17,"NK.L.2.L","NK.L.2"
"110","NK",2011,"L","L",2,"TR",196,3,5.5,NA,NA,"",NA,NA,0,4,NA,NA,NA,NA,".",NA,NA,NA,NA,NA,3.17,"NK.L.2.L","NK.L.2"
"111","NK",2011,"L","L",2,"TR",213,4,5.5,NA,NA,"",NA,NA,0,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,3.17,"NK.L.2.L","NK.L.2"
"112","NK",2011,"L","M",2,"TR",178,1,4.1,NA,6,"",NA,NA,0,NA,NA,NA,NA,NA,"new",162,159,196,196,209,3.17,"NK.L.2.M","NK.L.2"
"113","NK",2011,"L","M",2,"TR",188,2,4.1,NA,9,"2",NA,NA,0,NA,NA,NA,NA,NA,".",NA,NA,196,196,209,3.17,"NK.L.2.M","NK.L.2"
"114","NK",2011,"L","M",2,"TR",196,3,4.1,NA,NA,"",NA,NA,1,2,NA,NA,NA,NA,".",NA,NA,196,196,209,3.17,"NK.L.2.M","NK.L.2"
"115","NK",2011,"L","M",2,"TR",202,4,4.1,NA,11,"7",NA,NA,3,4,NA,NA,NA,NA,".",NA,NA,196,196,209,3.17,"NK.L.2.M","NK.L.2"
"116","NK",2011,"L","M",2,"TR",209,5,4.1,NA,NA,"",NA,5,3,NA,NA,NA,NA,NA,".",NA,NA,196,196,209,3.17,"NK.L.2.M","NK.L.2"
"117","NK",2011,"L","M",2,"TR",213,6,4.1,NA,11,"6",NA,7,0,NA,NA,1,NA,NA,".",NA,NA,196,196,209,3.17,"NK.L.2.M","NK.L.2"
"118","NK",2011,"L","M",2,"TR",216,7,4.1,NA,11,"5",NA,6,0,NA,NA,1,NA,NA,".",NA,NA,196,196,209,3.17,"NK.L.2.M","NK.L.2"
"119","NK",2011,"L","M",2,"TR",226,8,4.1,NA,NA,"",NA,NA,0,NA,NA,NA,NA,NA,"1",NA,NA,196,196,209,3.17,"NK.L.2.M","NK.L.2"
"120","NK",2011,"L","M",2,"TR",178,1,4.3,NA,6,"",NA,NA,0,NA,NA,NA,NA,NA,"new",162,159,NA,NA,NA,3.17,"NK.L.2.M","NK.L.2"
"121","NK",2011,"L","M",2,"TR",188,2,4.3,NA,10,"10",NA,NA,0,NA,NA,NA,NA,NA,".",NA,NA,NA,NA,NA,3.17,"NK.L.2.M","NK.L.2"
"122","NK",2011,"L","M",2,"TR",196,3,4.3,NA,NA,"",NA,NA,0,NA,NA,NA,9,NA,".",NA,NA,NA,NA,NA,3.17,"NK.L.2.M","NK.L.2"
"123","NK",2011,"L","M",2,"TR",202,4,4.3,1,5,"23","2",NA,0,NA,NA,10,7,NA,".",NA,NA,NA,NA,NA,3.17,"NK.L.2.M","NK.L.2"
"124","NK",2011,"L","M",2,"TR",209,5,4.3,1,5,"",NA,NA,0,NA,11,7,5,NA,".",NA,NA,NA,NA,NA,3.17,"NK.L.2.M","NK.L.2"
"125","NK",2011,"L","M",2,"TR",213,6,4.3,1,5,"",NA,NA,0,NA,14,4,NA,NA,".",NA,NA,NA,NA,NA,3.17,"NK.L.2.M","NK.L.2"
"126","NK",2011,"L","M",2,"TR",216,7,4.3,1,5,"22","4",NA,0,NA,12,2,NA,NA,".",NA,NA,NA,NA,NA,3.17,"NK.L.2.M","NK.L.2"
"127","NK",2011,"L","M",2,"TR",226,8,4.3,NA,NA,"",NA,NA,0,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,3.17,"NK.L.2.M","NK.L.2"
"128","NK",2011,"L","M",2,"TR",178,1,5.2,NA,6,"",NA,NA,0,NA,NA,NA,NA,NA,"new",162,159,NA,NA,NA,3.17,"NK.L.2.M","NK.L.2"
"129","NK",2011,"L","M",2,"TR",188,2,5.2,NA,11,"10",NA,NA,0,1,NA,NA,NA,NA,".",NA,NA,NA,NA,NA,3.17,"NK.L.2.M","NK.L.2"
"130","NK",2011,"L","M",2,"TR",196,3,5.2,NA,NA,"",NA,NA,0,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,3.17,"NK.L.2.M","NK.L.2"
"131","NK",2011,"L","M",2,"TR",178,1,5.4,NA,5,"",NA,NA,0,NA,NA,NA,NA,NA,"new",165,162,196,195,202,3.17,"NK.L.2.M","NK.L.2"
"132","NK",2011,"L","M",2,"TR",188,2,5.4,NA,8,"4",NA,NA,0,NA,NA,NA,NA,NA,".",NA,NA,196,195,202,3.17,"NK.L.2.M","NK.L.2"
"133","NK",2011,"L","M",2,"TR",196,3,5.4,NA,NA,"",NA,NA,3,3,NA,NA,NA,NA,".",NA,NA,196,195,202,3.17,"NK.L.2.M","NK.L.2"
"134","NK",2011,"L","M",2,"TR",202,4,5.4,NA,11,"4",NA,2,3,NA,NA,NA,1,NA,".",NA,NA,196,195,202,3.17,"NK.L.2.M","NK.L.2"
"135","NK",2011,"L","M",2,"TR",209,5,5.4,NA,NA,"",NA,6,0,NA,NA,1,NA,NA,".",NA,NA,196,195,202,3.17,"NK.L.2.M","NK.L.2"
"136","NK",2011,"L","M",2,"TR",213,6,5.4,NA,NA,"",NA,6,0,NA,NA,1,NA,NA,".",NA,NA,196,195,202,3.17,"NK.L.2.M","NK.L.2"
"137","NK",2011,"L","M",2,"TR",216,7,5.4,NA,12,"5",NA,NA,3,NA,1,NA,NA,NA,".",NA,NA,196,195,202,3.17,"NK.L.2.M","NK.L.2"
"138","NK",2011,"L","M",2,"TR",226,8,5.4,NA,NA,"",NA,NA,0,NA,NA,NA,NA,NA,"1",NA,NA,196,195,202,3.17,"NK.L.2.M","NK.L.2"
"139","NK",2011,"L","H",2,"TR",178,1,1.2,NA,5,"",NA,NA,0,NA,NA,NA,NA,NA,"new",160,162,202,201.5,209,3.17,"NK.L.2.H","NK.L.2"
"140","NK",2011,"L","H",2,"TR",188,2,1.2,NA,7,"",NA,NA,0,NA,NA,NA,NA,NA,".",NA,NA,202,201.5,209,3.17,"NK.L.2.H","NK.L.2"
"141","NK",2011,"L","H",2,"TR",196,3,1.2,NA,NA,"",NA,NA,0,2,NA,NA,NA,NA,".",NA,NA,202,201.5,209,3.17,"NK.L.2.H","NK.L.2"
"142","NK",2011,"L","H",2,"TR",202,4,1.2,NA,8,"",NA,NA,2,NA,NA,NA,NA,NA,".",NA,NA,202,201.5,209,3.17,"NK.L.2.H","NK.L.2"
"143","NK",2011,"L","H",2,"TR",209,5,1.2,NA,NA,"",NA,2,0,NA,NA,NA,NA,NA,".",NA,NA,202,201.5,209,3.17,"NK.L.2.H","NK.L.2"
